label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,match_probability,action
0,privacy-preserving data mining,"r agrawal , r srikant",sigmod conference,2000,data mining,"p adriaans , d zantinge",,1997.0,0.04,flag-review
0,monotonic complements for independent data warehouses,"d laurent , j lechtenbіrger , n spyratos , g vossen",vldb j.,2001,independent components of data bases,"fb bs , n spyratos",,1981.0,0.04,flag-review
1,on processing xml in ldap,"p marrѓn , g lausen",vldb,2001,processing xml in ldap and its application to caching,pj marron,"phd thesis , universitat freiburg , october",,0.04,flag-review
0,improving index performance through prefetching,"s chen , p gibbons , t mowry",sigmod conference,2001,improving performance through object fusion,"s chen , n hardavellas",,,0.04,flag-review
0,data placement in shared-nothing parallel database systems,"m mehta , d dewitt",vldb j.,1997,managing intra-operator parallelism in parallel database systems,m mehta,"proceedings of the international conference on very large & hellip ; ,",1995.0,0.04,flag-review
0,outlier detection for high dimensional data,"c aggarwal , p yu",sigmod conference,2001,re-designing distance functions and distance based applications for high dimensional data,cc aggarwal,"sigmod record ,",2001.0,0.04,flag-review
0,"proceedings of the 2002 acm sigmod international conference on management of data , madison , wisconsin , june 3-6 , 2002",,,2002,source international conference on management of data archive,"s mehrotra , t sellis","proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0,0.04,flag-review
0,managing multiple and distributed ontologies on the semantic web,"a maedche , b motik , l stojanovic",vldb j.,2003,mafraâ ?? a mapping framework for distributed ontologies in the semantic web,"a maedche , b motik , n silva , r volz",,,0.04,flag-review
0,a performance study of transitive closure algorithms,"s dar , r ramakrishnan",sigmod conference,1994,hybrid transitive closure algorithms,"r agrawal , hv jagadish","vldb ,",1990.0,0.04,flag-review
0,the tv-tree : an index structure for high-dimensional data,"k lin , h jagadish , c faloutsos",vldb j.,1994,hans-peter . kriegel . the x-tree : an index structure for high-dimensional data,"s berchtold , da keim",proceedings of the 22nd vldb,,0.04,flag-review
0,advanced xml data processing - guest editor 's introduction,k aberer,sigmod record,2001,guest editor 's introduction,y singer,"machine learning ,",2001.0,0.04,flag-review
0,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,an efficient hash based algorithm for mining association rules,"js park , ms chen , ps yu","proc . acm sigmod intâ ?? l conf . on management of data ,",,0.04,flag-review
0,the ccube constraint object-oriented database system,"a brodsky , v segal , j chen , p exarkhopoulo",sigmod conference,1999,the o2 object-oriented database system,f bancilhon,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",1992.0,0.04,flag-review
0,fast incremental indexing for full-text information retrieval,"e brown , j callan , w croft",vldb,1994,supporting full-text information retrieval with,"po store , ew brown , jp callan , wb croft , jeb moss",,,0.04,flag-review
0,s3 : similarity search in cad database systems,"s berchtold , h kriegel",sigmod conference,1997,efficient user-adaptable similarity search in large multimedia databases,"s thomas , h kriegel","proc . 23th int . conf . on vldb ,",,0.04,flag-review
0,xmark : a benchmark for xml data management,"a schmidt , f waas , m kersten , m carey , i manolescu , r busse",vldb,2002,xml data management,"p fankhauser , a halevy","the vldb journal ,",,0.04,flag-review
0,introduction to the career forum column,a labrinidis,sigmod record,2001,introduction,rm keesing,"see herdt ,",,0.04,flag-review
0,wavelet synopses with error guarantees,"m garofalakis , p gibbons",sigmod conference,2002,wavelet synopses for general error metrics,"m garofalakis , a kumar",,,0.04,flag-review
0,enhanced abstract data types in object-relational databases,p seshadri,vldb j.,1998,andr . ramakrishnan . the case forenhanced abstract data types,"p seshadri , m livny","inproceedings of the23th vldb conference , athens , greece , & hellip ; ,",,0.04,flag-review
0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,parallel mining of association rules,"r agrawal , jc shafer",,,0.04,flag-review
0,grid data management systems & services,,,2003,management of it services,"m feridum , gd rodosek","computer networks ,",,0.04,flag-review
0,the semantic web : semantics for data on the web,,,2003,cream : cream metadata for the semantic web,"s handschuh , s staab","computer networks ,",,0.04,flag-review
0,comparative analysis of six xml schema languages,"d lee , w chu",sigmod record,2000,comparative analysis of five xml query languages .,acms anthology,"sigmod record ,",2000.0,0.04,flag-review
0,integrating dynamically-fetched external information into a dbms for semistructured data,"j mchugh , j widom",sigmod record,1997,ozone : integrating structured and semistructured data,"s abiteboul , r goldman , t lahiri , j mchugh , j","technical report , stanford university database group ,",,0.04,flag-review
0,strudel : a web-site management system,"m fernandez , d florescu , j kang , a levy , d suciu",sigmod conference,1997,system demonstration-strudel : a web-site management system,m fernandezâ ? ¦,,1997.0,0.04,flag-review
0,advanced xml data processing - guest editor 's introduction,k aberer,sigmod record,2001,guest editor 's introduction,wb elley,"international journal of educational research ,",2001.0,0.04,flag-review
0,a normal form for precisely characterizing redundancy in nested relations,"w mok , y ng , d embley",acm trans . database syst .,1996,a new normal form for nested relations,"z meral ozsoyoglu , ly yuan","acm transactions on database systems ,",,0.04,flag-review
0,cure : an efficient clustering algorithm for large databases,"s guha , r rastogi , k shim",sigmod conference,1998,birch : an efficient data clustering method for very large databases,tzrrm livny,,1998.0,0.04,flag-review
0,on the issue of valid time ( s ) in temporal databases,"s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos",sigmod record,1995,temporal databases,"i ahn , r snodgrass","ieee computer ,",,0.04,flag-review
0,wise-integrator : an automatic integrator of web search interfaces for e-commerce,"h he , w meng , c yu , z wu",vldb,2003,wise-integrator : a system for extracting and integrating complex web search interfaces of the deep,"h he , w meng , c yu , z wu","proceedings of the 31st international conference on very & hellip ; ,",2005.0,0.04,flag-review
0,peer-to-peer : harnessing the power of disruptive technologies,m nascimento,sigmod record,2003,peer-to-peer : harnessing the power of disruptive technologies oâ ?? reilly,a oram,,2001.0,0.04,flag-review
0,secure bufering in firm real-time database systems,"b george , j haritsa",vldb j.,2000,value-based scheduling in real-time database systems,"jr haritsa , mj canrey , m livny","the vldb journal the international journal on very large & hellip ; ,",1993.0,0.04,flag-review
0,changing the rules : transformations for rule-based optimizers,"m cherniack , s zdonik",sigmod conference,1998,rule languages and internal algebras for rule-based optimizers,"m cherniack , sb zdonik","sigmod conference ,",1996.0,0.04,flag-review
0,engineering federated information systems : report of efis '99 workshop,"s conrad , w hasselbring , u hohenstein , r kutsche , m roantree , g saake , f saltor",sigmod record,1999,research issues in federated database systems : report of efdbs '97 workshop,"s conrad , b eaglestone , w hasselbring , m roantree ,","acm sigmod record ,",1997.0,0.04,flag-review
